nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
0.385635,0.3744328,0.37443244,0.3879524,0.3906706,0.47915685,,,0.60434616,0.7313826,0.7270204,0.7024467,0.69835854,,,,
0.3842624,0.3740073,0.3740425,0.389441,0.3921952,0.4779931,0.47723633,,0.59979326,0.72875786,0.71337694,0.693406,0.69078845,,,,
0.38301393,0.3722877,0.37391478,0.3871172,0.3919465,0.47322804,0.47849175,,0.5997015,0.7263529,0.7156408,0.6954228,0.6926888,,,,
0.38188133,0.37147343,0.37301856,0.38776904,0.3923552,0.47345954,0.47953802,,0.60021806,0.7187585,0.71426505,0.6943016,0.6921446,,,,
0.38179058,0.3713746,0.37330174,0.38680828,0.3919629,0.46948123,0.47727972,0.5943625,0.60117793,0.7148073,0.7170376,0.699909,0.69812274,,,,
0.38235682,0.37164032,0.37327415,0.38710237,0.39121282,0.4701091,0.4781015,0.5945419,0.60204446,0.71572846,0.71450186,0.69922346,0.69727075,,,,
0.3822117,0.37182474,0.37314087,0.38717517,0.39073393,0.47088954,0.4776612,0.59599525,0.60121286,0.72552526,0.71408546,0.7007823,0.6981277,,,,
0.38146436,0.37100023,0.37228522,0.3866166,0.39026594,0.47146854,0.4773401,,0.59995854,0.72046846,0.7136867,0.69817924,0.6951146,,,,
0.38312417,0.3725062,0.37399682,0.38750052,0.39108667,0.47135723,0.47807813,0.5947077,0.6013001,0.72065246,0.7152642,0.6988996,0.69677365,,,,
0.38501924,0.37409875,0.37492532,0.3889734,0.39191556,0.4743783,0.47885665,,0.6014202,0.726163,0.7165152,0.69437885,0.69181633,,,,
0.38365158,0.37284434,0.37300825,0.38824245,0.39107856,0.47269905,0.47830272,,0.60289246,0.72360754,0.7143003,0.6979785,0.6955422,,,,
0.3844509,0.37314016,0.37374493,0.38797018,0.39121032,0.47290415,0.47816575,,0.60078335,0.7215303,0.71585715,0.7015543,0.69903386,,,,
0.38524848,0.37373406,0.3746798,0.38758183,0.3892101,0.47377563,0.47737274,,0.5997231,0.7212684,0.71542734,0.6993376,0.6978706,,,,
0.38569063,0.37426493,0.37523562,0.38871202,0.39061588,0.47309467,0.47778648,,0.6004911,0.72329515,0.71928144,0.69861573,0.69697106,,,,
0.3860663,0.37442836,0.37492225,0.38781977,0.39029765,0.46997938,0.47651953,0.59321916,0.5996524,0.7186725,0.713174,0.69682664,0.6944469,,,,
0.3861419,0.37468743,0.3749801,0.38819775,0.39065742,0.4723934,0.47722661,0.5927404,0.59950614,,0.7166611,0.69760054,0.69503963,,,,
,0.3739707,0.37510437,0.3876884,0.38991827,0.47051045,0.4762178,0.5908984,0.59826946,,0.71608186,0.69538754,0.69403946,,,,
0.38481587,0.37379402,0.3753851,0.38755772,0.3907828,0.46971378,0.4762519,0.5918763,0.5984423,0.71404624,0.7167301,0.7009511,0.69826984,,,,
0.38620007,0.37426454,0.37568784,0.38741398,0.38995194,0.46999797,0.4767184,0.5928483,0.5991849,0.7223855,0.7186532,0.70176697,0.69975346,,,,
0.38642406,0.37433594,0.37586913,0.38647568,0.3888877,0.470579,0.47738862,0.5945934,0.60448873,0.7245029,0.7198894,0.7007169,0.6997477,,,,
0.38612172,0.3740644,0.37512493,0.38640592,0.38813227,0.47199842,0.4764616,0.5946464,0.602648,0.7220527,0.7164094,0.69876,0.69776696,,,,
0.38730726,0.37429413,0.37538767,0.388272,0.3904079,0.47904432,0.480462,,0.60335976,0.7203603,0.7201254,0.685728,0.6853225,,,,
,0.3739267,0.3746726,0.3888459,0.39064723,0.47935355,0.4818654,,0.6026094,0.7209965,0.71730494,0.69420993,0.69250023,,,,
0.39302215,0.38031814,0.38048905,0.39485916,0.3960533,0.48515213,0.48712724,0.6102462,0.6134624,,0.73079175,0.71365714,0.7126662,,,,
0.39792746,0.38613844,0.38639772,0.40066057,0.3986009,0.48776624,0.4904064,0.6239878,0.62777954,0.7474667,,0.73085845,0.7330145,,,,
0.40075082,0.38910827,0.38958043,0.40584016,0.4054647,0.4906121,0.4978467,0.63158643,0.6322374,0.74961275,0.74402946,0.7295553,0.7321014,,,,
,0.40409777,0.40453082,0.41508824,0.4152252,0.50645745,0.508914,0.6436882,0.63552284,0.76197934,0.7517876,0.74076843,0.74239945,,,,
0.42813134,0.4155948,0.4156922,0.42747065,0.42576823,0.5204071,0.5223911,0.663598,0.6522574,,0.7615018,0.750105,0.7493841,,,,
,0.42954406,0.4296264,0.43944868,0.439492,0.52912366,0.5322555,0.67194337,0.65945935,,,0.7525737,0.75220716,,,,
,0.44543612,0.4456296,0.45591366,0.45466036,0.5467963,0.5471544,0.68329567,0.6761112,,,0.76039594,0.7630651,,,,
0.4702645,0.4586336,0.45952722,0.4668321,0.46801043,0.5627659,0.56170475,0.70036936,0.693789,,,0.7754113,0.7710918,,,,
0.48386717,0.47226942,0.47131264,0.48560065,0.4847098,0.5739584,0.57273364,,0.7082471,,,0.7787482,0.77272844,,,,
,0.48395455,0.48410803,0.49751478,0.49473187,0.5870354,0.58337426,0.7155315,0.71417236,,,0.7864716,0.78058785,,,,
0.5120861,0.5004705,0.500543,0.5106714,0.50886655,0.60250914,0.60083693,0.72546667,0.72242045,,,,0.7874211,,,,
0.52289295,0.5100122,0.5085113,0.5207766,0.52019674,0.6139811,0.6110368,,0.7359873,,,,,,,,
0.5284378,0.5171149,0.51491183,0.5312599,0.52681917,0.62111557,0.61777484,,0.7388556,,,,,,,,
0.54630554,0.5327466,0.53062403,0.54294217,0.541711,0.6340872,0.6337426,0.75327367,0.7525263,,,,,,,,
0.55535424,0.5433881,0.54310954,0.55338115,0.5544368,0.643993,0.64642715,0.75751364,0.758506,,,,,,,,
0.563672,0.55120367,0.54946107,0.56386423,0.56281734,0.6565324,0.65086776,,,,,,,,,,
0.5655895,0.55355316,0.551457,0.5686041,0.56634927,0.66293734,0.6564164,,,,,,,,,,
0.57689047,0.5640592,0.5625783,0.57821965,0.57572573,0.6717259,0.6677687,,,,,,,,,,
0.59244657,0.57745093,0.57830095,0.5873595,0.58747005,0.6772677,0.6716723,,,,,,,,,,
0.59633636,0.581107,0.5820458,0.59005785,0.5887876,0.68812346,0.6803886,,,,,,,,,,
0.59623444,0.58156955,0.5836718,0.59344536,0.5920047,0.690727,0.6821508,,,,,,,,,,
,,0.5861088,0.59762645,0.59622556,0.69303834,0.6874777,,,,,,,,,,
0.59565765,0.580431,0.581964,0.59055877,0.5903536,0.68544906,0.67870706,,,,,,,,,,
0.58506477,0.57122004,0.5688517,0.5814107,0.580029,0.6739313,0.66963696,,,,,,,,,,
0.5678803,0.5555985,0.5541781,0.57323134,0.56959146,0.6642541,0.6611234,,,,,,,,,,
0.5565937,0.5443478,0.5425593,0.5571512,0.5548756,0.64765227,0.6466002,0.75678134,0.756273,,,,,,,,
0.5323629,0.52047366,0.5192809,0.533347,0.5289688,0.62509364,0.6213336,,0.74012536,,,,,,,,
0.5227667,0.5101652,0.51025134,0.52026474,0.5195958,0.61238694,0.60891724,0.7343042,0.7317426,,,,,,,,
0.49168867,0.48066843,0.4812556,0.49629354,0.49408126,0.5861672,0.58215225,0.71422833,0.7124864,,,0.7814996,0.7745008,,,,
0.47755477,0.46413952,0.46566328,0.474843,0.4758138,0.5673196,0.56651914,0.700379,0.6938662,,,0.7713522,0.7680582,,,,
0.46486294,0.44981453,0.45098191,0.45664495,0.4576591,0.54698336,0.549204,0.6885659,0.67654914,,,0.76393914,0.75747484,,,,
0.44336578,0.42918062,0.42946988,0.43802088,0.43709213,0.5276395,0.53101325,,0.6572903,,0.7663454,0.76227283,0.7566465,,,,
0.4274704,0.41305098,0.41379842,0.42325586,0.42291844,0.51323235,0.5229367,0.65725785,0.64947045,0.76922935,0.755926,0.7587718,0.7559642,,,,
0.40721118,0.39495385,0.3949866,0.40921745,0.40913743,0.4992422,0.5055422,0.6364436,0.6350256,0.7667055,0.7349597,0.75155705,0.75295985,,,,
0.3991894,0.38666424,0.38786516,0.40278965,0.4039219,0.48867667,0.4995225,0.6352948,0.6300869,0.7621987,0.72982526,0.7473349,0.74770063,,,,
0.39051315,0.37788603,0.37842986,0.3939227,0.3931865,0.47942802,0.48474297,0.6140944,0.6121226,0.74355215,0.72517705,0.728924,0.72747874,,,,
0.38527888,0.37424785,0.37470192,0.38771337,0.3891513,0.47744972,0.48123163,0.6063169,0.60615677,0.73927164,0.7126827,0.71238434,0.7105392,,,,
0.38710082,0.37338838,0.37458104,0.38313162,0.38327405,0.47274455,0.47766614,0.5955685,0.60012496,0.73373353,0.7124305,0.70954657,0.70466554,,,,
0.38529348,0.3708716,0.3731224,0.3801967,0.3819003,0.47182363,0.47274983,,0.59876263,0.7179186,0.7090124,0.7116193,0.7108016,,,,
0.38289654,0.3670332,0.37011668,0.37668306,0.3784343,0.4676338,0.46950835,,0.5949259,0.722463,0.7093885,0.7117095,0.7088408,,,,
0.3800479,0.3656213,0.36774752,0.37772816,0.37963182,0.46772963,0.46751666,0.5922753,0.59204924,0.7235762,0.7076459,0.697981,0.6973336,,,,
0.3817894,0.3675582,0.37069556,0.3800219,0.38109052,0.46741158,0.4682526,0.58899295,0.5922024,,0.7056987,0.69741005,0.6942754,,,,
0.38100713,0.3674856,0.3689133,0.37817925,0.37947482,0.46794948,0.46589774,,0.5913151,0.72101396,0.70113945,0.6942875,0.6917496,,,,
0.37723637,0.3643176,0.3658815,0.37961277,0.3819375,0.46658015,0.46630126,,0.5944289,0.72692287,0.70683444,0.6903349,0.68386376,,,,
0.37729812,0.3634909,0.3637142,0.37818584,0.37955078,0.46400815,0.46591568,0.5893791,0.5918221,,0.70383644,0.68019843,0.6762538,,,,
0.3784786,0.36534625,0.36470616,0.3811276,0.38022026,0.46502405,0.46586406,0.5851563,0.5901127,0.7169139,0.7074806,0.68092346,0.6790042,,,,
0.38490722,0.3726349,0.37225267,0.3824087,0.38029,0.46608353,0.4657833,0.58561134,0.5880017,,0.7007071,0.6768796,0.67606163,,,,
0.38613045,0.37383664,0.3731262,0.38487643,0.38129056,0.46671924,0.46751365,0.58432996,0.5921004,0.72120064,0.70400393,0.6832262,0.6833831,,,,
0.38444066,0.37121886,0.3720615,0.38361722,0.38250822,0.4674275,0.47021443,0.5859883,0.5918062,0.7208414,0.70508206,0.6882254,0.6894995,,,,
0.38334057,0.36977038,0.37183794,0.38359994,0.38309187,0.46673498,0.4698344,0.5869117,0.5917999,0.71720165,0.70885843,0.6939893,0.6935786,,,,
0.3844262,,0.371121,0.38455057,0.38069552,0.46642756,0.46803135,0.58556527,0.59142405,0.7158513,0.70690906,0.69500303,0.6956942,,,,
,0.37292403,0.37143248,0.3831846,0.38130018,0.46712396,0.46850443,0.58679444,0.59270525,0.71378374,0.70647943,0.6860728,0.6887216,,,,
0.38297904,0.3696636,0.3695981,0.38008377,0.380357,0.46662804,0.46806416,0.5867445,0.5922692,,0.7029302,0.68673414,0.68776894,,,,
,0.36524686,0.36473316,0.37678024,0.37673706,0.4642552,0.46611828,0.58643013,0.59391266,0.71724284,0.70559096,0.697693,0.6989362,,,,
0.37425935,0.36201358,0.3613988,0.37633333,0.3752106,0.4643097,0.46622023,0.58761257,0.5956183,0.71600217,0.7089746,0.69924355,0.70064473,,,,
,0.35985196,0.36076432,0.3739816,0.3737167,0.46113938,0.46459624,0.5876859,0.5927421,0.72595096,0.70758533,0.7072016,0.7098142,,,,
0.3697394,,0.35727996,0.3729247,0.37010336,0.4608353,0.46359307,0.59248126,0.59157574,0.729622,0.70785725,0.7090422,0.7118162,,,,
0.36916253,0.35716212,0.3561561,0.37275654,0.37015015,0.46019363,0.46184307,0.5890796,0.5941481,0.7320797,0.70565546,0.7038652,0.70456886,,,,
0.36625504,0.35279727,0.35391998,0.3665219,0.36697468,0.44936955,0.45718282,0.58990955,0.5917119,0.7284483,0.71626496,0.70123684,0.6994073,,,,
0.36192113,0.3454976,0.34610718,0.35786873,0.35746273,0.4466905,0.44689757,0.5907034,0.5877558,0.73248357,0.7072352,0.69993913,0.6965417,,,,
0.3591176,0.34292644,0.3438629,0.3535893,0.35466564,0.44887602,0.44734687,0.59034884,0.58693486,0.7324118,0.7073293,0.6898834,0.6886119,,,,
0.35552526,0.33617103,0.33844495,0.34477696,0.34871274,0.44701356,0.44605494,0.59094363,0.5904073,0.7335818,0.70708144,0.6915958,0.69048035,,,,
0.3456009,0.32667714,0.32919088,0.33614284,0.33892187,0.4438115,0.44350517,0.591213,0.5895534,0.7324759,0.70812404,0.70238703,0.699434,,,,
0.34661612,0.3280657,0.32798445,0.3327474,0.33545917,0.4393382,0.44005427,0.59398335,0.5907837,0.7409994,0.7112653,0.7056257,0.70218724,,,,
0.335975,0.31678435,0.31774062,0.3266644,0.3284736,0.43691176,0.43792504,0.5921259,0.59029424,0.75093853,0.72490567,0.7152342,0.71367717,,,,
0.32560408,0.30588686,0.3062356,0.31791312,0.31936,0.42552805,0.43275207,0.5918278,0.58430195,0.75123084,0.719903,0.7253012,0.72127575,,,,
0.3201976,0.29898095,0.29940733,0.3117232,0.31172803,0.4199209,0.42629752,0.58972657,0.5844823,0.749882,0.7198851,0.7295293,0.72410905,,,,
0.31741986,0.2964347,0.2965395,0.31145722,0.3108383,0.42001137,0.4245431,0.59129274,0.5857477,0.7510714,0.72247213,0.7371893,0.7319567,,,,
0.3163914,0.29402506,0.29420492,0.30504185,0.30550694,0.4182076,0.42382476,0.59174,0.58776855,0.7529938,0.7184969,0.7188126,0.71616286,,,,
0.30554488,0.2841036,0.28570104,0.30143923,0.29995713,0.41240212,0.41959128,0.5929787,0.5846952,0.7591982,0.71237123,0.7023851,0.695501,,,,
0.3000086,0.2784149,0.27705324,0.29659045,0.29301098,0.410562,0.41882294,0.59597933,0.59158474,0.761322,0.7455794,0.71138024,0.7025126,,,,
0.29755002,0.27575654,0.27322173,0.2928779,0.28682405,0.40558764,0.41523242,0.59158754,0.5881063,0.7542238,0.73770785,0.7155232,0.7103021,,,,
0.28375006,0.25886503,0.2578269,0.27697653,0.26887864,0.40080607,0.40284562,0.59071255,0.5944457,0.7540467,0.7461657,0.72206795,0.71030754,,,,
0.26331902,,0.234943,0.25384083,0.24101989,0.38234016,0.38342625,0.57882476,0.5864945,0.7553579,0.75048107,0.72472966,0.7081971,,,,
0.24071614,,,,,0.35967678,0.3607461,0.5699264,0.57431203,0.7564757,0.7376888,0.73224944,0.71517825,,,,
,,,,,0.34968936,0.34518033,0.56680864,0.5648297,0.764323,0.7342324,0.7276399,0.71634257,,,,
,,,,,0.33737224,0.32811671,0.5746641,0.56519306,,0.7401495,0.7289337,0.72008705,,,,
,,,,,0.3174234,0.3050772,0.57174313,0.5582011,,0.7412166,0.72649574,0.71703136,,,,
,,,,,0.30580997,0.29363388,0.5712718,0.5520713,,,0.7302047,0.7217853,,,,
,,,,,0.29939142,0.2919817,0.57156533,0.5647013,,,0.7448782,0.7353565,,,,
,,,,,0.29418865,0.2762733,0.5812298,0.5662489,,,0.7491782,0.73676634,,,,
,,,,,0.28314376,0.27439085,0.58714336,0.5685027,,,0.752532,0.7457913,,,,
,,,,,0.2755422,0.27426296,0.60089195,0.5762799,,,0.7580346,0.74990934,,,,