nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,real_time
0.2619346,0.2333763,0.23261589,0.26854292,0.25964907,0.46757486,0.44081557,0.7296554,0.70061916,0.96736217,0.89348626,0.96818584,0.9602101,,,,,0.057676077
0.25940168,0.2274208,0.23026021,0.2614779,0.255776,0.45673668,0.43468252,0.7293606,0.7073157,0.9706428,0.9117019,0.9792987,0.9753027,,,,,0.043768883
0.25789446,0.22662729,0.22617902,0.26145655,0.25315917,0.4579437,0.43348926,0.7320207,0.70879966,,0.9095357,0.97815746,0.97486186,,,,,0.036155939
0.2563339,0.22643402,0.22460948,0.26249367,0.2523688,0.4589316,0.43280995,0.7327884,0.7069255,0.9746903,0.90748936,0.97754073,0.9787944,,,,,0.02884984
0.25793818,0.22843058,0.2275611,0.26455176,0.25439167,0.46170357,0.43630397,0.73421776,0.7171955,0.97242343,0.91390216,0.9833623,0.9808693,,,,,0.029747963
0.25897127,0.22854015,0.22762187,0.26320913,0.2538689,0.46053308,0.43745485,0.73038006,0.7169217,0.96737695,0.9105914,0.9746478,0.9805054,,,,,0.017485142
0.25884518,0.22861645,0.22972171,0.2617712,0.25499827,0.44721127,0.43146828,0.729955,0.71087295,0.97539926,0.9119644,0.97602105,0.97081155,,,,,0.046987772
0.26117346,0.22880755,0.23057842,0.25981033,0.2535628,0.44466686,0.43013927,0.73112625,0.714456,0.97727615,0.9148508,0.97873294,0.97487026,,,,,0.064439774
0.26019955,0.22778824,0.2293554,0.25995547,0.25271007,0.45477995,0.43087387,0.7302268,0.7091713,0.97247547,0.9089956,0.97735965,0.97379464,,,,,0.045341969
0.2627626,0.22963619,0.23293632,0.26194128,0.2596486,0.45216683,0.4339872,0.7321637,0.7193635,0.979061,0.9175783,0.983771,0.9788889,,,,,0.039459705
0.2603842,0.2285436,0.22918479,0.2601453,0.25349057,0.45498583,0.43155304,0.7282077,0.70608926,0.97363484,0.9123027,0.97969544,0.9760817,,,,,0.051257133
0.26039395,0.22849008,0.22935094,0.26091167,0.25548935,0.45884186,0.43450314,0.72792774,0.70739913,0.96733546,0.9089846,0.9781106,0.97612065,,,,,0.017921925
0.25996944,0.22882482,0.22910023,0.262459,0.2554743,0.45904562,0.43459448,0.7306001,0.70986706,0.9745049,0.91440773,0.9815054,0.97850484,,,,,0.01883316
0.25854218,0.22818857,0.22613229,0.26052576,0.25225937,0.44615826,0.43201843,0.7280956,0.7081623,0.9687339,0.910791,0.97882295,0.9765056,,,,,0.04740715
0.26010662,0.22822502,0.2262418,0.26087204,0.25318798,0.45197976,0.43449655,0.72836196,0.71431744,0.97113544,0.91760087,0.98248196,0.97923195,,,,,0.060381174
0.26036304,0.22884093,0.22821161,0.26102632,0.2549501,0.456535,0.4344584,0.7308295,0.7120622,0.972641,0.91245717,0.9775208,0.9741141,,,,,0.042563915
0.2588059,0.2284813,0.22746335,0.26154593,0.25498787,0.44438922,0.43477038,0.72656375,0.7110759,0.963927,0.9091564,0.9784129,0.978188,,,,,0.053398132
0.26226097,0.23265277,0.23495367,0.26674208,0.26287588,0.46319425,0.43505728,0.7288106,0.70175034,0.9701147,0.90048176,0.9809632,0.97481304,,,,,0.040398121
0.25814214,0.2297289,0.23193884,0.26613343,0.2611494,0.46697676,0.43776056,0.731724,0.70292133,0.9690679,0.9127579,0.97421646,0.9758193,,,,,0.056421041
0.263157,0.23368253,0.23361349,0.26391464,0.26291668,0.47467688,0.44821417,0.7373477,0.7228793,0.9648089,0.92230934,0.9887216,0.9929969,,,,,0.04843092
0.26150253,0.23270199,0.23180825,0.25978225,0.26272985,0.47478205,0.4546816,0.72974765,0.71234673,0.960563,0.9235717,0.9876506,0.98474574,,,,,0.053077698
0.2602041,0.23229276,0.23072274,0.26501262,0.25703594,0.46459866,0.43787846,0.7189119,0.7149537,0.95004463,0.9286014,0.99413323,0.9906315,,,,,0.042495966
0.26054227,0.23202705,0.23002154,0.2669798,0.26170874,0.47014946,0.46171653,0.72791505,0.7368562,0.9557292,0.93810886,0.9918126,0.989063,,,,,0.051245689
0.26395947,0.23479652,0.23831664,0.2721356,0.2737268,0.47660038,0.46840245,0.7311662,0.7392232,0.9614333,0.9472863,0.9990014,1.0004191,,,,,0.045128107
0.27835166,0.2479949,0.24860483,0.27689096,0.27731937,0.47428766,0.47145563,0.7278773,0.74337196,0.95545363,0.94564015,0.9937958,1.0043128,,,,,0.047779083
0.2795611,0.24915367,0.25091872,0.2779979,0.28056675,0.47729957,0.47200012,0.7289712,0.7349088,0.95740074,0.94613594,0.9953692,0.997782,,,,,0.024481058
0.28490722,0.2577041,0.2550568,0.29137623,0.2828421,0.4814158,0.47064433,0.7301114,0.7402431,0.95602673,0.9403199,0.9861179,0.98646,,,,,0.053114891
0.30117947,0.2730127,0.2710799,0.30538708,0.29319566,0.49011782,0.46827015,0.7361694,0.71433514,0.95520604,0.92632335,0.98381317,0.97917724,,,,,0.044246674
0.323303,0.2978664,0.29424852,0.3214371,0.3146038,0.497893,0.4778855,0.73625183,0.73339665,0.9636094,0.93354946,0.9833171,0.9835025,,,,,0.043423891
0.33301178,0.30737278,0.3043401,0.33328545,0.3242971,0.5072795,0.49427,0.73981833,0.73691857,0.9576062,0.9276855,0.97146773,0.96681756,,,,,0.026389837
0.35623163,0.3299852,0.3287825,0.35136366,0.34284204,0.5158017,0.5045305,0.74111736,0.7341525,0.9501671,0.9121902,0.95813245,0.9544095,,,,,0.048363209
0.36981493,0.34422335,0.34447956,0.36562088,0.35565412,0.5338985,0.51547897,0.75604236,0.73244065,0.94922024,,0.9593814,0.956845,,,,,0.035337925
0.38625273,0.36080757,0.35775778,0.38055527,0.37175792,0.5407889,0.5272969,0.76085716,0.74291813,0.96729594,0.9088389,0.9639916,0.95737606,,,,,0.066433191
0.3941504,0.3711902,0.3687242,0.39049757,0.38622972,0.5663469,0.551939,0.77551734,0.7514094,0.9662945,0.9081103,0.97248447,0.96977264,,,,,0.042749882
0.39647546,0.37553596,0.3694962,0.39745152,0.38539368,0.56480736,0.54714286,0.76946694,0.7436838,0.960204,0.90509194,0.96973675,0.9653421,,,,,0.043933868
0.39731932,0.37849507,0.37122378,0.39774683,0.3857097,0.5597913,0.5416486,0.76024735,0.733804,0.9475385,0.90122074,0.9458419,0.9402883,,,,,0.06180501
0.39427587,0.37505043,0.37092268,0.39460394,0.3850199,0.55690396,0.54297745,0.76703835,0.74157155,0.9408331,0.9008868,0.9477279,0.9467565,,,,,0.036233902
0.39717272,0.37617397,0.373344,0.39307383,0.38688257,0.5502525,0.54086995,0.7586031,0.74036026,0.94411254,0.90018165,0.948228,0.9454523,,,,,0.045917749
0.40506417,0.38649613,0.38162988,0.40492836,0.3939478,0.55735713,0.5469552,0.76121765,0.738721,0.93716496,0.8979927,0.9412278,0.94054824,,,,,0.066133976
0.3987268,0.37843195,0.37674224,0.40021127,0.39242232,0.5578221,0.54342145,0.7630525,0.7370589,0.9394865,0.9090127,0.96074796,0.9569766,,,,,0.04340601
0.41232908,0.3854065,0.38978493,0.4064491,0.3996569,0.55624527,0.55151325,0.7587249,0.7538095,0.94737095,0.914521,0.95164937,0.94995815,,,,,0.042062998
0.4101814,0.38600433,0.38644424,0.4103256,0.4040372,0.5616353,0.5583658,0.7695788,0.76252395,0.9453269,0.91888195,0.9531748,0.95299476,,,,,0.046260357
0.41786215,0.3941852,0.3931679,0.413586,0.41034454,0.554806,0.56058544,0.7664764,0.7614282,0.9553206,,0.9605808,0.9568645,,,,,0.056393862
0.41653284,0.39724767,0.39680916,0.41771454,0.4125232,0.5622992,0.56083775,0.7471631,0.7473683,0.9351476,0.9198015,0.9351116,0.9390838,,,,,0.046248913
0.4248954,0.4037208,0.40296257,0.42307663,0.41513947,0.56638026,0.56730396,0.7424788,0.75064784,0.9290409,0.92697895,0.93183845,0.93657386,,,,,0.049002886
0.42004892,0.4000067,0.40055397,0.41829088,0.4168936,0.55781144,0.5597598,0.73564804,0.7479865,0.9182844,0.9192957,0.9337773,0.9414124,,,,,0.056651115
0.42329174,0.40423265,0.40420192,0.42040178,0.42081675,0.56464535,0.55668575,0.74256545,0.72727895,0.92662346,,0.93305755,0.9319299,,,,,0.055769205
0.4292896,0.40991825,0.41165012,0.4262388,0.42753327,0.5678842,0.5618531,0.7392413,0.73951316,0.91195655,,0.93072957,0.93229145,,,,,0.037151098
0.43520844,0.41718504,0.4170011,0.43671185,0.43575212,0.5779454,0.5760532,0.74537265,0.7486777,0.91319263,,0.9350054,0.93849206,,,,,0.05668807
0.4336053,0.41342258,0.41544595,0.43476713,0.43676206,0.5760375,0.5689567,0.73985744,0.74625367,0.9162143,,0.9361884,0.9371781,,,,,0.044900894
0.429927,0.41271836,0.41159713,0.435665,0.43364158,0.5744788,0.55789715,0.7445544,0.6958671,0.9090282,,0.9289491,0.93021965,,,,,0.017099857
0.44049767,0.42144468,0.4232485,0.44140726,0.43927547,0.5786024,0.57450825,0.74651825,0.74386334,0.9229276,,0.9348098,0.93224365,,,,,0.046989202
0.43838623,0.42001083,0.42163542,0.4431413,0.43977854,0.5825368,0.561765,0.75282353,0.7176643,0.9273285,,0.93979007,0.93420833,,,,,0.023746729
0.44003665,0.4245098,0.42191908,0.44905996,0.44355795,0.5824675,0.5688558,0.7484665,0.72182345,0.9214829,,0.9282678,0.92253137,,,,,0.047387123
0.44272715,0.42827925,0.42188025,0.4527699,0.44258955,0.58640224,0.5759735,0.75360787,,,,0.92595017,0.9220104,,,,,0.05622673
0.4405918,0.4247089,0.42151743,0.45118248,0.44221723,0.59430546,0.55776745,0.7459147,0.59593934,0.9331063,,0.93757415,0.9329816,,,,,0.032630205
0.44727504,0.42933336,0.4281234,0.45369333,0.44589773,0.58729374,0.5737817,0.74385524,0.7068545,0.9197983,,0.92647105,0.9191881,,,,,0.035265923
0.44848844,0.4306114,0.42812157,0.4527068,0.44320738,0.59603375,0.5633053,0.762449,0.70530975,0.9210629,,0.9273638,0.9187468,,,,,0.0478549
0.45082766,0.43388298,0.4313204,0.4568384,0.4487614,0.5918661,0.5839217,0.7809932,0.74812317,0.93371606,,0.94094837,0.93308955,,,,,0.03964901
0.45665228,0.44159052,0.43756968,0.45786878,0.45387375,0.6003492,0.5864527,0.78474945,0.74015033,0.9392196,,0.9431555,0.9314395,,,,,0.045629978
0.4553771,0.43915674,0.43652713,0.45506743,0.45412546,0.600179,0.5816653,0.77832246,,0.9423682,,0.9405549,0.9276445,,,,,0.066441059
0.45422548,0.44002464,0.4349396,0.45662868,0.45426825,0.6065818,0.5814157,0.7935539,,0.9381496,,0.94167477,0.9364343,,,,,0.04278779
0.45321602,0.43685436,0.43421045,0.45732656,0.4567517,0.60472226,0.5835879,0.7989093,,,,0.95911735,0.94893986,,,,,0.044658899
0.45895407,0.4445521,0.4405854,0.46085453,0.4589025,0.6050217,0.5782581,0.7843155,0.71619976,0.9415866,,0.9457891,0.9440305,,,,,0.046559095
,0.4426153,0.44257492,0.46385956,0.46260324,0.6070246,0.5847346,0.79540104,0.7433604,0.9445021,,0.9500867,0.9438692,,,,,0.049259186
,0.44214883,0.44218382,0.46380955,0.46273857,0.60463387,0.58364743,0.78744614,0.7236009,0.9549249,,0.95046043,0.9453933,,,,,0.027225256
0.45705372,0.44036776,0.43893257,0.46100965,0.46061128,0.59957194,0.59141296,0.7870783,0.7493023,0.94202995,,0.9609983,0.9594962,,,,,0.041594744
0.4535705,0.4360361,0.43485573,0.45910752,0.45876837,0.60310817,0.58515275,0.8116831,0.75460774,0.95210963,,0.9701964,0.9618371,,,,,0.054191113
0.45062843,0.4324347,0.43017155,0.45865834,0.45369774,0.5968643,0.5835212,0.7931381,0.74694604,0.94994,,0.95794666,0.94985664,,,,,0.040699959
0.4437399,0.42741796,0.42323196,0.45195723,0.4463153,0.5923165,0.5809799,0.79260284,0.7471842,0.94613934,,0.9553668,0.94965595,,,,,0.032426834
0.4535998,0.43505266,0.4304095,0.4580574,0.45171753,0.60487705,0.58319134,0.8007605,0.74400926,0.94477624,,0.96038204,0.9517422,,,,,0.044686794
0.45150858,0.43459907,0.42996174,0.45782015,0.44818485,0.60981625,0.5817319,0.80578256,0.75769204,0.94881946,,0.96624607,0.95810866,,,,,0.04106307
0.44906807,0.42916694,0.4278518,0.45025942,0.4420824,0.594903,0.5813239,0.781914,0.7594649,0.9399264,,0.94319904,0.93747646,,,,,0.050909042
,0.40463147,0.40323693,0.4265658,0.41991228,0.57790875,0.57571626,0.77392864,0.7646694,0.94117427,0.92609787,0.9385607,0.9347447,,,,,0.045970917
0.41593182,0.398317,0.39390033,0.41796643,0.4139762,0.57006806,0.5533778,0.7480113,0.71982765,0.92144626,,0.9347121,0.9276502,,,,,0.030695915
0.40290847,0.3834022,0.3852723,0.40338427,0.40141073,0.5537281,0.5553195,0.7465289,0.76161915,0.940212,0.9401843,0.94361645,0.9451047,,,,,0.046394825
0.39488378,0.3770487,0.37721837,0.39861742,0.39637026,0.55029786,0.5458858,0.74740833,0.750821,0.9375718,,0.9402654,0.94242287,,,,,0.037463903
0.39074433,0.37217325,0.37154996,0.39240062,0.39092147,0.55067784,0.5479071,0.74699116,0.7531591,0.94109756,0.91718906,0.95493984,0.9582341,,,,,0.016618013
0.38724455,0.36459765,0.36388412,0.38630497,0.38054678,0.53369033,0.541911,0.74354523,0.75689507,0.9528584,0.9243221,0.96055835,0.9608988,,,,,0.063281059
0.38177443,0.35892037,0.35895526,0.38214493,0.3789047,0.53894943,0.54147846,0.74926376,0.76221824,0.95574814,0.9329696,0.9634725,0.963601,,,,,0.044869184
0.37853467,0.35647827,0.35594198,0.3770767,0.37231255,0.53255653,0.5393717,0.7445176,0.75424534,0.94840646,0.9281991,0.95996594,0.962876,,,,,0.048508883
0.37121508,0.34851748,0.3493098,0.37228027,0.3663472,0.53123486,0.5283985,0.7423879,0.74452484,0.9582727,0.94072276,0.9597308,0.9627184,,,,,0.039398193
0.36849526,0.34600183,0.3430233,0.36539078,0.3571052,0.5206653,0.5194364,0.73925304,0.73328316,0.950945,0.9309916,0.95864445,0.95625156,,,,,0.067042112
0.35990366,0.33612335,0.33369228,0.35620996,0.34627444,0.5138874,0.5035106,0.738269,0.73822224,,0.92693967,0.95920414,0.96045727,,,,,0.039731979
0.36186546,0.32944626,0.32962757,0.34564626,0.34011903,0.5016986,0.49741077,0.7330911,0.7319427,0.94575626,0.9153504,0.9520181,0.9520505,,,,,0.046596766
0.35213915,0.32406563,0.31945324,0.34245336,0.32944277,0.5126031,0.5004496,0.74154705,0.73105514,0.94201905,0.9004207,0.97159225,0.9701612,,,,,0.04867506
0.3308863,0.30456713,0.29939753,0.32641315,0.3103406,0.51023036,0.48033917,0.7467056,0.71721774,0.95080006,0.8876347,0.970374,0.9780858,,,,,0.044825077
0.32161582,0.29529035,0.28937757,0.31653798,0.30364725,0.4959044,0.47210455,0.7358373,0.72379357,0.9512935,0.898381,0.97908473,0.981713,,,,,0.034121037
0.31031036,0.2818868,0.27872118,0.30937535,0.2944857,0.48759735,0.46854565,0.73787904,0.7241263,0.9601394,0.8995894,0.97762966,0.98183084,,,,,0.040358067
0.29245165,0.2597047,0.26128387,0.29127964,0.28563774,0.4904555,0.4732479,0.7433274,0.73764443,0.9627221,0.90646183,0.978357,0.9741456,,,,,0.045293808
0.28967613,0.25816017,0.25876448,0.29066378,0.28399447,0.48958206,0.4743582,0.7431484,0.74155205,0.9726914,0.9031048,0.98934674,0.9860276,,,,,0.024769068
0.2799703,0.2486779,0.24758376,0.28376728,0.27570614,0.49959219,0.47639507,0.76262325,0.7422073,0.9903063,0.9331074,0.9969015,0.98861724,,,,,0.041372776
0.2619294,0.23064248,0.22841194,0.2647842,0.25582176,0.48885122,0.46324173,0.76799035,0.73640907,,0.9314946,0.99114376,0.98192745,,,,,0.057684898
0.22535801,0.18355635,0.18433496,0.20508109,0.20439084,0.44090217,0.3962497,0.759216,0.7215949,,0.92294186,1.0029646,0.9928451,,,,,0.038388014
0.2075307,0.15921031,0.16158618,0.18442392,0.1808086,0.42040908,0.4053349,0.7523474,0.7440684,,0.9420545,1.0024548,0.99542403,,,,,0.031673908
0.12083033,0.07056194,0.07010656,0.113136925,0.10977968,0.38984162,0.38840252,0.7322982,0.74403656,,0.9542298,0.99478406,0.9856092,,,,,0.039820671
0.064196795,0.020602278,0.012540553,0.06888633,0.046450906,0.34005988,0.33774886,0.678378,0.7212255,,0.9454888,0.97290105,0.96795774,,,,,0.05618906
0.019196298,-0.019151079,-0.025007911,0.026917432,0.017275862,0.30140913,0.29028994,0.6549635,0.67885906,0.95048726,0.92281586,0.946604,0.94765717,,,,,0.036268234
,,,,,0.26590046,0.27234682,0.65119296,0.71002156,,,0.9516523,0.9491956,,,,,0.063845873
,,,,,0.2501546,0.24154504,0.6535996,0.66735214,,0.93430233,0.96420956,0.9660792,,,,,0.047195911
,,,,,0.20321777,0.15876156,0.67970634,0.6737578,,0.9318447,0.96065605,0.96542317,,,,,0.040609121
,,,,,0.23130941,0.19189602,0.69518363,0.69615895,,0.953934,0.97752357,0.9892056,,,,,0.048187971
,,,,,0.19180234,0.17323631,0.682987,0.70078063,0.785855,0.9647893,,,,,,,0.0231812